Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-24,2016,6,24,Friday,25,2016-25,73.53,74.83,73.38,74.17,4332900,54.87,0.0029751617057742763,54.525,53.005
2016-06-27,2016,6,27,Monday,26,2016-26,73.9,75.1,73.8,74.95,3362700,55.44,0.010516119585662675,54.65428571428571,53.043600000000005
2016-06-28,2016,6,28,Tuesday,26,2016-26,74.77,76.44,74.32,76.44,5903800,56.55,0.019880123701727648,54.839285714285715,53.107
2016-06-29,2016,6,29,Wednesday,26,2016-26,76.64,76.8,76.02,76.41,2847700,56.52,-0.00039249126035700854,54.980000000000004,53.1704
2016-06-30,2016,6,30,Thursday,26,2016-26,76.65,77.93,76.47,77.93,3348200,57.65,0.019892907291285455,55.222142857142856,53.282
2016-07-01,2016,7,1,Friday,26,2016-26,78.06,78.18,77.07,77.86,2212300,57.6,-0.0008984791364647915,55.45857142857143,53.4156
2016-07-05,2016,7,5,Tuesday,27,2016-27,78.0,78.52,77.87,78.45,2470200,58.03,0.007577510695343959,55.71071428571429,53.549800000000005
2016-07-06,2016,7,6,Wednesday,27,2016-27,78.45,78.97,78.04,78.92,2949100,58.38,0.005991374765694335,55.987857142857145,53.6888
2016-07-07,2016,7,7,Thursday,27,2016-27,78.72,78.92,77.25,77.47,2572000,57.31,-0.01837321208195175,56.17714285714286,53.8108
2016-07-08,2016,7,8,Friday,27,2016-27,77.41,78.2,76.54,78.19,2259200,57.84,0.009293752058510796,56.39214285714286,53.931000000000004
2016-07-11,2016,7,11,Monday,28,2016-28,77.69,78.27,77.22,78.15,1831500,57.81,-0.0005115871825811524,56.59214285714286,54.046400000000006
2016-07-12,2016,7,12,Tuesday,28,2016-28,77.67,78.01,77.23,77.41,2060400,57.26,-0.009468844282879862,56.75357142857143,54.1444
2016-07-13,2016,7,13,Wednesday,28,2016-28,77.9,77.98,77.47,77.77,2352000,57.53,0.0046505446541817985,56.96357142857143,54.238600000000005
2016-07-14,2016,7,14,Thursday,28,2016-28,77.3,77.49,76.96,77.14,2250900,57.06,-0.008100630912546536,57.13214285714286,54.3258
2016-07-15,2016,7,15,Friday,28,2016-28,77.3,77.74,77.14,77.53,1926000,57.35,0.00505555048985884,57.30928571428571,54.406400000000005
2016-07-18,2016,7,18,Monday,29,2016-29,77.66,78.06,77.52,77.82,1521400,57.57,0.0037406307970333508,57.46142857142858,54.503
